Volume of transfers of major arms
Figures are in millions of SIPRI trend-indicator values (TIVs).
A '0' indicates that the volume of deliveries is between 0 and 0.5 million SIPRI TIV. An empty field indicates that no deliveries have been identified.
Figures may not add up to stated totals due to the conventions of rounding.
For the method used for the SIPRI TIV see <https://www.sipri.org/databases/armstransfers/sources-and-methods>.

Source: SIPRI Arms Transfers Database (c) SIPRI.
Data generated: 16 Dec 2024 11:42:30 PM

Recipient,2004,2005,2006,2004-2006,Percentage,2009,2010,2011,2009-2011,Percentage,2014,2015,2016,2014-2016,Percentage,Sum total years,Percentage of total
Montenegro,,,,,0.0%,,,,,0.0%,,,0 ,0 ,0.0%,0 ,0.0%
North Macedonia,,,,,0.0%,,,,,0.0%,,,0 ,0 ,0.0%,0 ,0.0%
Afghanistan,,,,,0.0%,,,,,0.0%,,,,,0.0%,,0.0%
Bangladesh,,,,,0.0%,,,,,0.0%,,,,,0.0%,,0.0%
Nigeria,,,,,0.0%,,,,,0.0%,,,,,0.0%,,0.0%
Rwanda,,,,,0.0%,,,,,0.0%,,,,,0.0%,,0.0%
Total imports from Turkiye,28,25,67,121,100%,76,70,90,235,100%,157,225,244,626,100%,982,

Volume of transfers of major arms
Figures are in millions of SIPRI trend-indicator values (TIVs).
A '0' indicates that the volume of deliveries is between 0 and 0.5 million SIPRI TIV. An empty field indicates that no deliveries have been identified.
Figures may not add up to stated totals due to the conventions of rounding.
For the method used for the SIPRI TIV see <https://www.sipri.org/databases/armstransfers/sources-and-methods>.

Source: SIPRI Arms Transfers Database (c) SIPRI.
Data generated: 16 Dec 2024 11:42:31 PM

Recipient,2004,2005,2006,2004-2006,Percentage,2009,2010,2011,2009-2011,Percentage,2014,2015,2016,2014-2016,Percentage,Sum total years,Percentage of total
Greece,126,76,483,685,12%,275,397,,672,12%,110,561,275,946,15%,2303,13%
Turkiye,21,626,330,976,17%,177,136,37,351,6.1%,48,12,,60,1.0%,1386,7.9%
South Korea,40,41,31,112,2.0%,421,40,73,534,9.2%,335,30,319,683,11%,1329,7.6%
Spain,42,215,136,393,6.9%,137,198,96,432,7.5%,52,102,44,198,3.2%,1022,5.8%
United States,,,17,17,0.3%,156,163,176,495,8.6%,114,185,77,376,6.1%,887,5.0%
Australia,251,251,251,754,13%,13,35,29,77,1.3%,6,8,20,35,0.6%,865,4.9%
Israel,8,21,15,44,0.8%,15,23,29,66,1.1%,351,351,33,735,12%,845,4.8%
South Africa,,225,550,775,14%,5,,,5,0.1%,,,,,0.0%,780,4.4%
Italy,29,45,320,394,6.9%,45,63,,108,1.9%,,,275,275,4.5%,777,4.4%
Algeria,,,,,0.0%,,,,,0.0%,13,14,563,590,9.6%,590,3.4%
Portugal,,,,,0.0%,,550,,550,9.5%,,,,,0.0%,550,3.1%
Brazil,,170,,170,3.0%,46,83,104,233,4.0%,47,40,,86,1.4%,489,2.8%
Singapore,,,,,0.0%,64,161,171,395,6.9%,,,18,18,0.3%,414,2.4%
Chile,,0 ,0 ,1,0.0%,172,162,10,344,6.0%,36,,,36,0.6%,381,2.2%
Poland,135,,,135,2.4%,,,,,0.0%,161,59,7,227,3.7%,362,2.1%
Qatar,,,,,0.0%,,,,,0.0%,,75,265,339,5.5%,339,1.9%
Brunei,,,,,0.0%,33,33,193,259,4.5%,63,,,63,1.0%,322,1.8%
Egypt,,10,10,20,0.4%,10,10,10,30,0.5%,24,19,215,259,4.2%,309,1.8%
Malaysia,1,1,86,87,1.5%,86,86,,172,3.0%,7,13,26,46,0.8%,305,1.7%
Austria,4,9,5,18,0.3%,285,,,285,4.9%,2,,,2,0.0%,305,1.7%
India,11,8,22,41,0.7%,37,49,29,115,2.0%,42,67,29,138,2.2%,294,1.7%
Indonesia,24,5,,29,0.5%,1,,7,8,0.1%,80,29,113,222,3.6%,259,1.5%
UAE,5,4,47,56,1.0%,7,32,6,45,0.8%,70,8,11,89,1.4%,190,1.1%
Netherlands,15,15,50,80,1.4%,83,14,,97,1.7%,1,3,3,6,0.1%,183,1.0%
Denmark,86,47,,133,2.3%,,,,,0.0%,47,,,47,0.8%,180,1.0%
Saudi Arabia,1,1,,1,0.0%,,11,72,84,1.4%,63,3,17,83,1.4%,168,1.0%
Tunisia,,168,,168,3.0%,,,,,0.0%,,,,,0.0%,168,1.0%
Switzerland,41,29,13,83,1.5%,34,13,13,59,1.0%,5,10,10,24,0.4%,166,0.9%
Romania,48,48,42,137,2.4%,6,,,6,0.1%,,,,,0.0%,143,0.8%
Colombia,,,,,0.0%,,,10,10,0.2%,46,83,,129,2.1%,139,0.8%
Argentina,123,,,123,2.2%,,,,,0.0%,2,,,2,0.0%,125,0.7%
Taiwan,,,,,0.0%,36,36,36,108,1.9%,3,,,3,0.0%,111,0.6%
China,18,18,12,48,0.8%,3,3,3,8,0.1%,14,20,9,42,0.7%,97,0.6%
Belgium,,0 ,12,13,0.2%,14,14,8,36,0.6%,21,11,,32,0.5%,81,0.5%
Thailand,5,,,5,0.1%,,1,0 ,1,0.0%,1,27,45,73,1.2%,79,0.4%
Sweden,,,2,2,0.0%,,,8,8,0.1%,,15,44,58,0.9%,68,0.4%
Lithuania,32,6,12,50,0.9%,,,,,0.0%,,,13,13,0.2%,63,0.4%
Iraq,,,,,0.0%,,,36,36,0.6%,6,13,4,22,0.4%,58,0.3%
Venezuela,,,,,0.0%,6,6,24,36,0.6%,4,,,4,0.1%,40,0.2%
Finland,,18,16,34,0.6%,,,,,0.0%,,,,,0.0%,34,0.2%
Pakistan,,,6,6,0.1%,15,11,,26,0.5%,,,,,0.0%,32,0.2%
Jordan,2,,5,7,0.1%,,,,,0.0%,,,20,20,0.3%,27,0.2%
Norway,,10,10,20,0.4%,,4,3,7,0.1%,,,,,0.0%,27,0.2%
Russia,,,,,0.0%,,,,,0.0%,14,10,,24,0.4%,24,0.1%
Canada,,,2,2,0.0%,,,0 ,0 ,0.0%,,,18,18,0.3%,21,0.1%
Japan,,,,,0.0%,2,2,7,11,0.2%,5,5,,9,0.1%,20,0.1%
Kazakhstan,,,,,0.0%,,,7,7,0.1%,3,3,7,13,0.2%,20,0.1%
Hungary,18,,,18,0.3%,,,,,0.0%,,,,,0.0%,18,0.1%
Uruguay,,17,,17,0.3%,,,,,0.0%,,,,,0.0%,17,0.1%
Luxembourg,,,,,0.0%,8,8,,17,0.3%,,,,,0.0%,17,0.1%
Mexico,7,,,7,0.1%,,,,,0.0%,,10,,10,0.2%,17,0.1%
United Kingdom,3,,,3,0.1%,1,1,,2,0.0%,,,8,8,0.1%,13,0.1%
Peru,,,,,0.0%,13,,,13,0.2%,,,,,0.0%,13,0.1%
Turkmenistan,,,,,0.0%,,,0 ,0 ,0.0%,,3,9,12,0.2%,12,0.1%
New Zealand,,,,,0.0%,,12,,12,0.2%,,,,,0.0%,12,0.1%
France,,,0 ,0 ,0.0%,0 ,0 ,,1,0.0%,,5,5,10,0.2%,11,0.1%
Croatia,,,,,0.0%,,,,,0.0%,,11,,11,0.2%,11,0.1%
Latvia,,,,,0.0%,,,5,5,0.1%,5,,,5,0.1%,9,0.1%
Estonia,7,2,,8,0.1%,,,,,0.0%,,,,,0.0%,8,0.0%
Myanmar,,,,,0.0%,,,,,0.0%,,4,4,8,0.1%,8,0.0%
Oman,,,,,0.0%,,,,,0.0%,8,,,8,0.1%,8,0.0%
Albania,,,,,0.0%,,,,,0.0%,,7,,7,0.1%,7,0.0%
Bolivia,,,,,0.0%,,,,,0.0%,7,,,7,0.1%,7,0.0%
Nigeria,,,,,0.0%,,,,,0.0%,3,,3,6,0.1%,6,0.0%
Ireland,1,5,,6,0.1%,,,,,0.0%,,,,,0.0%,6,0.0%
Gabon,,,,,0.0%,,,5,5,0.1%,,0 ,0 ,0 ,0.0%,5,0.0%
Morocco,,,,,0.0%,,,,,0.0%,5,,,5,0.1%,5,0.0%
Philippines,,,,,0.0%,,,,,0.0%,,,2,2,0.0%,2,0.0%
Kuwait,2,,,2,0.0%,,,,,0.0%,,,,,0.0%,2,0.0%
Lesotho,1,,,1,0.0%,,,,,0.0%,,,,,0.0%,1,0.0%
Mozambique,,,,,0.0%,,,,,0.0%,,0 ,,0 ,0.0%,0 ,0.0%
Bangladesh,,,,,0.0%,,,,,0.0%,,,,,0.0%,,0.0%
Czechia,,,,,0.0%,,,,,0.0%,,,,,0.0%,,0.0%
Ghana,,,,,0.0%,,,,,0.0%,,,,,0.0%,,0.0%
Kenya,,,,,0.0%,,,,,0.0%,,,,,0.0%,,0.0%
Lebanon,,,,,0.0%,,,,,0.0%,,,,,0.0%,,0.0%
Uganda,,,,,0.0%,,,,,0.0%,,,,,0.0%,,0.0%
Total imports from Germany,1103,2088,2485,5677,100%,2208,2357,1204,5769,100%,1822,1812,2509,6144,100%,17590,

